Sibers,GBs,Little_Sibers,Wifis,Beacons,More_Sibers
22,0.402729289,0.181476912,0.956364076,25,33
10,0.539636766,0.65710394,0.955461237,14,13
1,0.589151503,0.850040299,0.67751861,42,39
19,0.733489146,0.082920984,0.585366107,27,HAHAHAH
2,0.309937723,0.869403013,0.271076644,13,35
Checkmate,0.716962224,0.598603965,0.495730061,41,35
34,0.940433896,0.563215404,Testing,20,35
10,0.843613072,0.321664949,0.506481557,33,38
20,0.200217259,0.457806555,0.007630956,14,26
5,0.086400473,0.749875751,Nothing,16,9
5,0.822937349,0.031876642,0.225103989,19,41
33,Joe,0.392748434,0.891257148,5,36
34,0.006234897,0.740283363,0.76502866,9,36
5,0.699016527,0.179907901,0.543592339,35,37
20,0.459738788,0.735180978,0.405887504,39,32
40,0.629424937,0.228867142,0.91468039,22,27
34,0.907828704,0.944605701,0.545877503,2,27
30,0.104274185,0.087426605,Check,26,9
18,0.291895478,0.935405669,0.096729777,9,33
1,0.554480862,0.782746726,0.740748466,26,28
20,?,0.578339177,0.965118605,24.1,42
5,0.306350577,0.267962747,0.507840126,7,14
26,0.180954927,0.737940484,0.833488769,20,22
11,0.737296244,0.276226883,0.551249567,18,41
1,0.471839707,0.76456749,0.294027559,28,31
38,0.804497791,0.631014263,0.69728962,26,31
22.1,0.452916968,0.216121308,0.53109408,18,8
41,0.657427416,0.066643826,0.453872786,8,23
2,0.795448072,0.440968058,0.628058203,27,36
8,0.489829188,0.038860431,0.643571958,?,25
10,0.787218247,0.85199367,0.403815825,6,30
3,?,0.277037584,0.581508203,14,12
27,0.923305852,0.305551734,0.776590648,12,17
7,0.533407039,0.80137891,0.032525295,29,14
30,0.269977053,0.03538589,0.235036888,31,30
36,0.862393776,0.799079486,0.995494292,8,21
